theme_id,theme_label,type_enregistrement,echelle,niveau,libelle_niveau,definition,formule_score,groupe_facteur,libelle_groupe_facteur,coefficient_aggravant,facteur_id,facteur_libelle
international-sanctions,Sanctions internationales,echelle,Impact brut,2,Modéré,"Financier (base CA 1 Md $): 250 k$ à 2,5 M$ | Réputationnel: impact sur partenaire palace | Opérationnel: incident séjour VIP | Juridique: contrôle autorité locale | Humain: atteinte limitée à la sécurité",Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
international-sanctions,Sanctions internationales,echelle,Impact brut,3,Élevé,"Financier (base CA 1 Md $): 2,5 M$ à 25 M$ | Réputationnel: crise média régionale | Opérationnel: rupture fournisseur clé | Juridique: contentieux multi-juridictions | Humain: dommage physique ou psychologique sérieux",Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
international-sanctions,Sanctions internationales,echelle,Impact brut,4,Critique,"Financier (base CA 1 Md $): ≥ 25 M$ | Réputationnel: atteinte internationale à la marque Al Hiyad | Opérationnel: interruption d’activité multi-marchés | Juridique: sanctions, interdiction d’opérer ou poursuites pénales | Humain: risque vital ou atteinte grave à une personne",Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
international-sanctions,Sanctions internationales,echelle,Sévérité du score,faible,Low Risk,Risque faible,Score < 3,,,,,
international-sanctions,Sanctions internationales,echelle,Sévérité du score,modere,Moderate Risk,Risque modéré,Score ≥ 3 et < 6,,,,,
international-sanctions,Sanctions internationales,echelle,Sévérité du score,fort,High Risk,Risque élevé,Score ≥ 6 et < 12,,,,,
international-sanctions,Sanctions internationales,echelle,Sévérité du score,critique,Critical Risk,Risque critique,Score ≥ 12,,,,,
international-sanctions,Sanctions internationales,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group1,Critique,1.4,client-beneficiaire-effectif-risque-sanctions,Client ou bénéficiaire effectif à risque sanctions
international-sanctions,Sanctions internationales,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group1,Critique,1.4,paiement-juridiction-sensible,Paiement depuis juridiction sensible
international-sanctions,Sanctions internationales,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group1,Critique,1.4,demande-contournement-documentaire,Demande de contournement documentaire
international-sanctions,Sanctions internationales,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group2,Majeur,1.2,nationalite-residence-sensible,Nationalité / pays de résidence sensible
international-sanctions,Sanctions internationales,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group2,Majeur,1.2,reservation-multi-intermediaires,Réservation multi-intermédiaires
international-sanctions,Sanctions internationales,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group2,Majeur,1.2,opacite-payeur,Opacité sur le payeur
discrimination,Discrimination,echelle,Probabilité brute,1,Unlikely,Event has not occurred in the past 5 years. Event not expected to occur in the next 5 years.,Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Probabilité brute,2,Moderately likely,Event that has occurred once in the past 5 years. Event that may occur once in the next 5 years.,Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Probabilité brute,3,Likely,Event that has occurred once in the past year. Event that may occur once in the coming year.,Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Probabilité brute,4,Very likely,Event that occurred several times in the past year. Event expected to occur once or more times in the coming year.,Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Impact brut,1,Faible,Financier (base CA 1 Md $): < 250 k$ | Réputationnel: plainte client VIP isolée | Opérationnel: retard service isolé | Juridique: réclamation contractuelle | Humain: inconfort client/staff,Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Impact brut,2,Modéré,"Financier (base CA 1 Md $): 250 k$ à 2,5 M$ | Réputationnel: impact sur partenaire palace | Opérationnel: incident séjour VIP | Juridique: contrôle autorité locale | Humain: atteinte limitée à la sécurité",Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Impact brut,3,Élevé,"Financier (base CA 1 Md $): 2,5 M$ à 25 M$ | Réputationnel: crise média régionale | Opérationnel: rupture fournisseur clé | Juridique: contentieux multi-juridictions | Humain: dommage physique ou psychologique sérieux",Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Impact brut,4,Critique,"Financier (base CA 1 Md $): ≥ 25 M$ | Réputationnel: atteinte internationale à la marque Al Hiyad | Opérationnel: interruption d’activité multi-marchés | Juridique: sanctions, interdiction d’opérer ou poursuites pénales | Humain: risque vital ou atteinte grave à une personne",Score brut aggravé = probabilité brute × impact brut × coefficient aggravant,,,,,
discrimination,Discrimination,echelle,Sévérité du score,faible,Low Risk,Risque faible,Score < 3,,,,,
discrimination,Discrimination,echelle,Sévérité du score,modere,Moderate Risk,Risque modéré,Score ≥ 3 et < 6,,,,,
discrimination,Discrimination,echelle,Sévérité du score,fort,High Risk,Risque élevé,Score ≥ 6 et < 12,,,,,
discrimination,Discrimination,echelle,Sévérité du score,critique,Critical Risk,Risque critique,Score ≥ 12,,,,,
discrimination,Discrimination,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group1,Critique,1.4,refus-service-origine-religion-genre,Refus de service lié à origine / religion / genre
discrimination,Discrimination,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group1,Critique,1.4,consigne-client-discriminatoire,Consigne client discriminatoire
discrimination,Discrimination,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group1,Critique,1.4,ciblage-staff-vulnerable,Ciblage staff vulnérable
discrimination,Discrimination,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group2,Majeur,1.2,traitement-differencie-non-justifie,Traitement différencié non justifié
discrimination,Discrimination,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group2,Majeur,1.2,absence-tracabilite-refus,Absence de traçabilité des refus
discrimination,Discrimination,facteur_aggravant,,,,,Si au moins un facteur majeur est sélectionné: coeff. 1.2; si au moins un facteur critique est sélectionné: coeff. 1.4; le coefficient le plus élevé s’applique.,group2,Majeur,1.2,reclamations-recurrentes,Réclamations récurrentes
